timestamp,service,local_height,network_height,lag,peers,disk_bytes
2026-08-02T23:28:03+08:00,active,13318794,13469581,150787,20,2182188216
2026-08-02T23:32:20+08:00,active,13319370,13469674,150304,20,2182188216
2026-08-02T23:33:10+08:00,active,13319434,13469692,150258,21,2182188216
2026-08-02T23:38:19+08:00,active,13320266,13469804,149538,20,2182188216
2026-08-02T23:43:08+08:00,active,13321098,13469908,148810,21,2182188216
2026-08-02T23:48:05+08:00,active,13321738,13470015,148277,20,2182188216
2026-08-02T23:52:51+08:00,active,13322378,13470117,147739,21,2182188216
2026-08-02T23:57:42+08:00,active,13323082,13470222,147140,20,2182188216
2026-08-03T00:02:24+08:00,active,13323786,13470324,146538,21,2182188216
2026-08-03T00:07:23+08:00,active,13324426,13470432,146006,20,2182188216
2026-08-03T00:12:19+08:00,active,13325002,13470539,145537,21,2182188216
